"Script","ExitCode","Result","Evidence"
"test_memory","1","BLOCKED","ModuleNotFoundError: No module named 'httpx'"
"djbench","1","BLOCKED","ModuleNotFoundError: No module named 'discord'"
"discordbench","1","BLOCKED","ModuleNotFoundError: No module named 'discord'"
"panelbench","1","BLOCKED","ModuleNotFoundError: No module named 'gradio'"
"turnbench","0","PASS","concurrent ok — neither turn saw the other's music, DJ list or calendar"
"minibench","1","BLOCKED","ModuleNotFoundError: No module named 'httpx'"
"djminibench","1","BLOCKED","ModuleNotFoundError: No module named 'httpx'"
"forkbench","1","BLOCKED","ModuleNotFoundError: No module named 'httpx'"
"latebench","1","BLOCKED","ModuleNotFoundError: No module named 'httpx'"
"searchminibench","1","BLOCKED","ModuleNotFoundError: No module named 'httpx'"
"calminibench","1","BLOCKED","ModuleNotFoundError: No module named 'httpx'"
"growthbench","1","BLOCKED","ModuleNotFoundError: No module named 'httpx'"
"recordbench","1","BLOCKED","ModuleNotFoundError: No module named 'httpx'"
"tastebench","1","BLOCKED","ModuleNotFoundError: No module named 'httpx'"
"calbench","1","BLOCKED","ModuleNotFoundError: No module named 'httpx'"
"searchbench","1","BLOCKED","ModuleNotFoundError: No module named 'ddgs'"
"routerbench","1","BLOCKED","ModuleNotFoundError: No module named 'discord'"
"wakebench","1","BLOCKED","ModuleNotFoundError: No module named 'discord'"
"dumpbench","1","BLOCKED","ModuleNotFoundError: No module named 'discord'"
"noisebench","1","BLOCKED","ModuleNotFoundError: No module named 'discord'"
"outagebench","1","BLOCKED","ModuleNotFoundError: No module named 'httpx'"
"eyebench","1","BLOCKED","ModuleNotFoundError: No module named 'httpx'"
