[tiwa] TIWA_LOG_PROMPTS in .env is IGNORED — your system environment already sets it, and that wins. Clear it there, or edit it there instead of in .env.
[tiwa] OpenRouter key ...7b80 (from .env)
| audio | level | passes gate? | want |
|---|---|---|---|
| real speech | 0.0938 | yes: ที่นี่คงเตอร์ และมีเตอร์ และมีเตอร์ | yes |
| digital silence | 0.0000 | no | no |
| room hiss | 0.0020 | no | no |
| louder hiss | 0.0200 | no | no |
| fan hum | 0.0212 | no | no |

| transcript | junk? | want |
|---|---|---|
| `Thanks for watching!` | yes | yes |
| `ขอบคุณที่รับชม` | yes | yes |
| `no no no no no` | yes | yes |
| `tututututututututututu` | yes | yes |
| `ครับครับครับครับครับครับ` | yes | yes |
| `Steven is coming over tonight` | no | no |
| `ทิวา เปิดเพลงหน่อย` | no | no |
| `ok` | no | no |

all clean — noise floor 0.02, tune with TIWA_NOISE_FLOOR
